variable	cell_type	value	x_pos	summary
15673_1_TCRB_E00_pfreq	CD4	7.55E-06	E00	mean
15673_1_TCRB_E00_pfreq	CD4CD8	9.15E-06	E00	mean
15673_1_TCRB_E00_pfreq	CD8	3.84E-05	E00	mean
15673_1_TCRB_E00_pfreq	LOW_CD	6.35E-06	E00	mean
15673_2_TCRB_E00.5_pfreq	CD4	6.86E-06	E00.5	mean
15673_2_TCRB_E00.5_pfreq	CD4CD8	7.29E-06	E00.5	mean
15673_2_TCRB_E00.5_pfreq	CD8	3.10E-05	E00.5	mean
15673_2_TCRB_E00.5_pfreq	LOW_CD	4.96E-06	E00.5	mean
15673_6_TCRB_E01_pfreq	CD4	6.71E-06	E01	mean
15673_6_TCRB_E01_pfreq	CD4CD8	6.40E-06	E01	mean
15673_6_TCRB_E01_pfreq	CD8	3.07E-05	E01	mean
15673_6_TCRB_E01_pfreq	LOW_CD	8.64E-06	E01	mean
15673_7_TCRB_E02_pfreq	CD4	9.39E-06	E02	mean
15673_7_TCRB_E02_pfreq	CD4CD8	7.42E-06	E02	mean
15673_7_TCRB_E02_pfreq	CD8	7.67E-05	E02	mean
15673_7_TCRB_E02_pfreq	LOW_CD	5.25E-06	E02	mean
15673_8_TCRB_E03_pfreq	CD4	1.09E-05	E03	mean
15673_8_TCRB_E03_pfreq	CD4CD8	8.60E-06	E03	mean
15673_8_TCRB_E03_pfreq	CD8	0.000434666	E03	mean
15673_8_TCRB_E03_pfreq	LOW_CD	1.81E-06	E03	mean
15673_9_TCRB_E05_pfreq	CD4	5.20E-06	E05	mean
15673_9_TCRB_E05_pfreq	CD4CD8	4.01E-06	E05	mean
15673_9_TCRB_E05_pfreq	CD8	0.000399146	E05	mean
15673_9_TCRB_E05_pfreq	LOW_CD	3.55E-06	E05	mean
15761_1_TCRB_E00_pfreq	CD4	3.66E-06	E00	mean
15761_1_TCRB_E00_pfreq	CD4CD8	2.18E-06	E00	mean
15761_1_TCRB_E00_pfreq	CD8	1.33E-05	E00	mean
15761_1_TCRB_E00_pfreq	LOW_CD	1.36E-06	E00	mean
15761_2_TCRB_E01_pfreq	CD4	2.12E-06	E01	mean
15761_2_TCRB_E01_pfreq	CD4CD8	7.20E-07	E01	mean
15761_2_TCRB_E01_pfreq	CD8	5.70E-06	E01	mean
15761_2_TCRB_E01_pfreq	LOW_CD	4.50E-07	E01	mean
15761_3_TCRB_E02_pfreq	CD4	2.06E-05	E02	mean
15761_3_TCRB_E02_pfreq	CD4CD8	1.37E-05	E02	mean
15761_3_TCRB_E02_pfreq	CD8	0.000141589	E02	mean
15761_3_TCRB_E02_pfreq	LOW_CD	7.48E-06	E02	mean
15761_4_TCRB_E03_pfreq	CD4	1.29E-05	E03	mean
15761_4_TCRB_E03_pfreq	CD4CD8	8.57E-06	E03	mean
15761_4_TCRB_E03_pfreq	CD8	0.000121293	E03	mean
15761_4_TCRB_E03_pfreq	LOW_CD	7.05E-06	E03	mean
15761_5_TCRB_E05_pfreq	CD4	6.49E-06	E05	mean
15761_5_TCRB_E05_pfreq	CD4CD8	3.09E-06	E05	mean
15761_5_TCRB_E05_pfreq	CD8	9.43E-05	E05	mean
15761_5_TCRB_E05_pfreq	LOW_CD	3.22E-06	E05	mean
15515_2_TCRB_E00_pfreq	CD4	3.18E-06	E00	mean
15515_2_TCRB_E00_pfreq	CD4CD8	3.94E-06	E00	mean
15515_2_TCRB_E00_pfreq	CD8	9.12E-07	E00	mean
15515_2_TCRB_E00_pfreq	LOW_CD	0	E00	mean
15515_3_TCRB_E02_pfreq	CD4	6.01E-06	E02	mean
15515_3_TCRB_E02_pfreq	CD4CD8	3.87E-06	E02	mean
15515_3_TCRB_E02_pfreq	CD8	1.25E-05	E02	mean
15515_3_TCRB_E02_pfreq	LOW_CD	0	E02	mean
15515_4_TCRB_E03_pfreq	CD4	4.99E-06	E03	mean
15515_4_TCRB_E03_pfreq	CD4CD8	4.62E-06	E03	mean
15515_4_TCRB_E03_pfreq	CD8	4.90E-05	E03	mean
15515_4_TCRB_E03_pfreq	LOW_CD	2.14E-06	E03	mean
15744_1_TCRB_E00_pfreq	CD4	3.96E-06	E00	mean
15744_1_TCRB_E00_pfreq	CD4CD8	4.81E-06	E00	mean
15744_1_TCRB_E00_pfreq	CD8	7.25E-06	E00	mean
15744_1_TCRB_E00_pfreq	LOW_CD	8.88E-06	E00	mean
15744_2_TCRB_E02_pfreq	CD4	6.98E-06	E02	mean
15744_2_TCRB_E02_pfreq	CD4CD8	9.37E-06	E02	mean
15744_2_TCRB_E02_pfreq	CD8	3.57E-05	E02	mean
15744_2_TCRB_E02_pfreq	LOW_CD	9.45E-06	E02	mean
15744_3_TCRB_E03_pfreq	CD4	8.32E-06	E03	mean
15744_3_TCRB_E03_pfreq	CD4CD8	7.49E-06	E03	mean
15744_3_TCRB_E03_pfreq	CD8	0.000125868	E03	mean
15744_3_TCRB_E03_pfreq	LOW_CD	7.80E-06	E03	mean
15744_4_TCRB_E05_pfreq	CD4	4.93E-06	E05	mean
15744_4_TCRB_E05_pfreq	CD4CD8	5.24E-06	E05	mean
15744_4_TCRB_E05_pfreq	CD8	7.93E-05	E05	mean
15744_4_TCRB_E05_pfreq	LOW_CD	7.64E-06	E05	mean
15782_1_TCRB_E00_pfreq	CD4	4.34E-06	E00	mean
15782_1_TCRB_E00_pfreq	CD4CD8	4.79E-06	E00	mean
15782_1_TCRB_E00_pfreq	CD8	1.57E-06	E00	mean
15782_1_TCRB_E00_pfreq	LOW_CD	3.67E-06	E00	mean
15782_2_TCRB_E01_pfreq	CD4	3.12E-06	E01	mean
15782_2_TCRB_E01_pfreq	CD4CD8	7.63E-06	E01	mean
15782_2_TCRB_E01_pfreq	CD8	1.35E-06	E01	mean
15782_2_TCRB_E01_pfreq	LOW_CD	3.08E-06	E01	mean
15782_3_TCRB_E02_pfreq	CD4	6.17E-06	E02	mean
15782_3_TCRB_E02_pfreq	CD4CD8	7.77E-06	E02	mean
15782_3_TCRB_E02_pfreq	CD8	7.42E-05	E02	mean
15782_3_TCRB_E02_pfreq	LOW_CD	5.53E-06	E02	mean
15782_4_TCRB_E03_pfreq	CD4	4.83E-06	E03	mean
15782_4_TCRB_E03_pfreq	CD4CD8	6.28E-06	E03	mean
15782_4_TCRB_E03_pfreq	CD8	9.06E-05	E03	mean
15782_4_TCRB_E03_pfreq	LOW_CD	5.10E-06	E03	mean
15754_1_TCRB_E00_pfreq	CD4	5.65E-06	E00	mean
