ptid,E01,E03,10x_pfreq,count
525,1.8334931528198208e-06,0.0,,209666
525,0.0,2.181762646041737e-06,,169338
525,3.6669863056396416e-06,0.0,,19618
525,0.0,4.363525292083474e-06,,15125
525,1.8334931528198208e-06,2.181762646041737e-06,,11685
525,3.6669863056396416e-06,2.181762646041737e-06,,3650
525,1.8334931528198208e-06,4.363525292083474e-06,,2792
525,5.500479458459463e-06,0.0,,2782
525,5.500479458459463e-06,2.181762646041737e-06,,1619
525,0.0,6.545287938125212e-06,,1445
525,3.6669863056396416e-06,4.363525292083474e-06,,1433
525,7.333972611279283e-06,0.0,,918
525,1.8334931528198208e-06,6.545287938125212e-06,,888
525,7.333972611279283e-06,2.181762646041737e-06,,799
525,5.500479458459463e-06,4.363525292083474e-06,,792
525,3.6669863056396416e-06,6.545287938125212e-06,,655
525,7.333972611279283e-06,4.363525292083474e-06,,518
525,0.0,8.727050584166948e-06,,480
525,5.500479458459463e-06,6.545287938125212e-06,,463
525,9.167465764099103e-06,2.181762646041737e-06,,414
525,9.167465764099103e-06,0.0,,371
525,1.8334931528198208e-06,8.727050584166948e-06,,364
525,9.167465764099103e-06,4.363525292083474e-06,,307
525,7.333972611279283e-06,6.545287938125212e-06,,299
525,3.6669863056396416e-06,8.727050584166948e-06,,293
525,5.500479458459463e-06,8.727050584166948e-06,,268
525,7.333972611279283e-06,8.727050584166948e-06,,247
525,1.1000958916918926e-05,2.181762646041737e-06,,223
525,9.167465764099103e-06,6.545287938125212e-06,,217
525,1.1000958916918926e-05,0.0,,201
525,1.1000958916918926e-05,4.363525292083474e-06,,199
525,0.0,1.0908813230208685e-05,,198
525,9.167465764099103e-06,8.727050584166948e-06,,176
525,1.1000958916918926e-05,6.545287938125212e-06,,168
525,1.2834452069738746e-05,4.363525292083474e-06,,153
525,5.500479458459463e-06,1.0908813230208685e-05,,150
525,1.8334931528198208e-06,1.0908813230208685e-05,,141
525,3.6669863056396416e-06,1.0908813230208685e-05,,140
525,1.2834452069738746e-05,2.181762646041737e-06,,134
525,7.333972611279283e-06,1.0908813230208685e-05,,123
