pubid,e01_pfreq,e03_pfreq,count,type
673,1.00E-06,1.00E-06,897445,all
673,1.00E-06,1.81E-06,232218,all
673,1.00E-06,3.61E-06,23620,all
673,1.00E-06,5.42E-06,2513,all
673,1.00E-06,7.22E-06,724,all
673,1.00E-06,9.03E-06,244,all
673,1.00E-06,1.08E-05,146,all
673,1.00E-06,1.26E-05,63,all
673,1.00E-06,1.44E-05,36,all
673,1.00E-06,1.63E-05,18,all
673,1.00E-06,1.81E-05,26,all
673,1.00E-06,1.99E-05,10,all
673,1.00E-06,2.17E-05,10,all
673,1.00E-06,2.35E-05,5,all
673,1.00E-06,2.53E-05,7,all
673,1.00E-06,2.71E-05,5,all
673,1.00E-06,2.89E-05,5,all
673,1.00E-06,3.07E-05,5,all
673,1.00E-06,3.25E-05,3,all
673,1.00E-06,3.43E-05,9,all
673,1.00E-06,3.61E-05,2,all
673,1.00E-06,3.79E-05,4,all
673,1.00E-06,3.97E-05,1,all
673,1.00E-06,4.15E-05,4,all
673,1.00E-06,4.33E-05,6,all
673,1.00E-06,4.51E-05,2,all
673,1.00E-06,4.70E-05,3,all
673,1.00E-06,4.88E-05,1,all
673,1.00E-06,5.06E-05,3,all
673,1.00E-06,5.24E-05,1,all
673,1.00E-06,5.42E-05,4,all
673,1.00E-06,5.60E-05,1,all
673,1.00E-06,5.78E-05,3,all
673,1.00E-06,5.96E-05,1,all
673,1.00E-06,6.14E-05,1,all
673,1.00E-06,6.50E-05,1,all
673,1.00E-06,6.68E-05,1,all
673,1.00E-06,7.04E-05,1,all
673,1.00E-06,7.22E-05,1,all
673,1.00E-06,7.58E-05,1,all
673,1.00E-06,7.77E-05,1,all
673,1.00E-06,8.13E-05,2,all
673,1.00E-06,8.31E-05,1,all
673,1.00E-06,8.49E-05,2,all
673,1.00E-06,8.85E-05,1,all
673,1.00E-06,9.75E-05,1,all
673,1.00E-06,0.00010655,1,all
673,1.00E-06,0.000108355,2,all
673,1.00E-06,0.000110161,1,all
673,1.00E-06,0.000124609,1,all
673,1.00E-06,0.000133638,2,all
673,1.00E-06,0.00013725,2,all
673,1.00E-06,0.000139056,1,all
673,1.00E-06,0.000140862,1,all
673,1.00E-06,0.000151698,1,all
673,1.00E-06,0.000157115,1,all
673,1.00E-06,0.000176981,1,all
673,1.00E-06,0.000193234,1,all
673,1.00E-06,0.000204069,1,all
673,1.00E-06,0.000205875,1,all
673,1.00E-06,0.000256441,1,all
673,1.00E-06,0.000260053,1,all
673,1.00E-06,0.000279918,1,all
673,1.00E-06,0.000288948,1,all
