"pubid","cell_type","n","data_type"
"P525","CD4",1,"expansion_count"
"P525","CD8",63,"expansion_count"
"P525",NA,197,"expansion_count"
"P527","CD4",2,"expansion_count"
"P527","CD8",28,"expansion_count"
"P527",NA,63,"expansion_count"
"P531","CD4",1,"expansion_count"
"P531","CD8",9,"expansion_count"
"P531",NA,60,"expansion_count"
"P577","CD8",20,"expansion_count"
"P577",NA,61,"expansion_count"
"P581","CD8",104,"expansion_count"
"P581",NA,15,"expansion_count"
"P669","CD4",1,"expansion_count"
"P669","CD8",38,"expansion_count"
"P669",NA,59,"expansion_count"
"P673","CD4",4,"expansion_count"
"P673","CD8",125,"expansion_count"
"P673",NA,72,"expansion_count"
"P684","CD8",49,"expansion_count"
"P684",NA,169,"expansion_count"
"P754","CD4",3,"expansion_count"
"P754","CD8",26,"expansion_count"
"P754",NA,59,"expansion_count"
"P761","CD4",11,"expansion_count"
"P761","CD8",59,"expansion_count"
"P761",NA,229,"expansion_count"
"P782","CD4",1,"expansion_count"
"P782","CD8",62,"expansion_count"
"P782",NA,47,"expansion_count"
"P836","CD4",4,"expansion_count"
"P836","CD8",113,"expansion_count"
"P836",NA,45,"expansion_count"
"P525","CD4",30,"no_sig_change_count"
"P525","CD8",32,"no_sig_change_count"
"P527","CD4",195,"no_sig_change_count"
"P527","CD8",86,"no_sig_change_count"
"P531","CD4",12,"no_sig_change_count"
"P531","CD8",12,"no_sig_change_count"
"P577","CD4",6,"no_sig_change_count"
"P577","CD8",12,"no_sig_change_count"
"P581","CD4",40,"no_sig_change_count"
"P581","CD8",42,"no_sig_change_count"
"P669","CD4",120,"no_sig_change_count"
"P669","CD8",70,"no_sig_change_count"
"P673","CD4",223,"no_sig_change_count"
"P673","CD8",109,"no_sig_change_count"
"P684","CD4",198,"no_sig_change_count"
"P684","CD8",73,"no_sig_change_count"
"P754","CD4",210,"no_sig_change_count"
"P754","CD8",79,"no_sig_change_count"
"P761","CD4",322,"no_sig_change_count"
"P761","CD8",47,"no_sig_change_count"
"P782","CD4",128,"no_sig_change_count"
"P782","CD8",179,"no_sig_change_count"
"P836","CD4",87,"no_sig_change_count"
"P836","CD8",108,"no_sig_change_count"
