"group","pubid","cell_type","n"
"1","525","Ts CD4+",30
"1","527","Ts CD4+",178
"1","531","Ts CD4+",11
"1","577","Ts CD4+",5
"1","581","Ts CD4+",36
"1","669","Ts CD4+",102
"1","673","Ts CD4+",201
"1","684","Ts CD4+",182
"1","754","Ts CD4+",170
"1","761","Ts CD4+",141
"1","836","Ts CD4+",66
"1","525","Ts CD8+",19
"1","527","Ts CD8+",72
"1","531","Ts CD8+",5
"1","577","Ts CD8+",4
"1","581","Ts CD8+",15
"1","669","Ts CD8+",50
"1","673","Ts CD8+",102
"1","684","Ts CD8+",66
"1","754","Ts CD8+",55
"1","761","Ts CD8+",25
"1","836","Ts CD8+",36
"2","525","Ts CD8+",16
"2","527","Ts CD8+",7
"2","531","Ts CD8+",1
"2","577","Ts CD8+",15
"2","581","Ts CD8+",41
"2","673","Ts CD8+",32
"2","684","Ts CD8+",12
"2","754","Ts CD8+",2
"2","761","Ts CD8+",5
"2","836","Ts CD8+",45
"3","761","Ts CD4+",1
"3","836","Ts CD4+",2
"3","525","Ts CD8+",7
"3","527","Ts CD8+",2
"3","531","Ts CD8+",5
"3","577","Ts CD8+",6
"3","581","Ts CD8+",23
"3","669","Ts CD8+",13
"3","673","Ts CD8+",28
"3","684","Ts CD8+",17
"3","754","Ts CD8+",7
"3","761","Ts CD8+",6
"3","836","Ts CD8+",44
"4","527","Ts CD4+",17
"4","581","Ts CD4+",4
"4","669","Ts CD4+",18
"4","673","Ts CD4+",25
"4","684","Ts CD4+",13
"4","754","Ts CD4+",41
"4","761","Ts CD4+",172
"4","836","Ts CD4+",18
"4","525","Ts CD8+",6
"4","527","Ts CD8+",10
"4","531","Ts CD8+",6
"4","577","Ts CD8+",4
"4","581","Ts CD8+",18
"4","669","Ts CD8+",1
"4","673","Ts CD8+",10
"4","684","Ts CD8+",12
"4","754","Ts CD8+",21
"4","761","Ts CD8+",24
"4","836","Ts CD8+",61
"5","527","Ts CD4+",1
"5","531","Ts CD4+",1
"5","577","Ts CD4+",1
"5","684","Ts CD4+",3
"5","754","Ts CD4+",1
"5","761","Ts CD4+",17
"5","836","Ts CD4+",4
"5","525","Ts CD8+",28
"5","527","Ts CD8+",16
"5","531","Ts CD8+",5
"5","577","Ts CD8+",6
"5","581","Ts CD8+",15
"5","669","Ts CD8+",54
"5","673","Ts CD8+",27
"5","684","Ts CD8+",24
"5","754","Ts CD8+",19
"5","761","Ts CD8+",5
"5","836","Ts CD8+",18
