index,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,type,chain,x11,x12,v_a_gene,j_a_gene,v_b_gene,j_b_gene,cluster_id,restriction,x13,x14,x15,x16,x17
A,0.0,-0.022013368065571613,-0.01795112847723025,0.0,-0.020833333333333332,0.0,0.0,0.0,0.0,-0.01795112847723025,0.0,raw,a,,,,,,,0,A*02:01,,,,,
R,0.0,0.0,0.0,0.0,0.8484444230637535,0.010810742703855111,0.0,-0.01795112847723025,0.0,3.0109355331890377,0.0,raw,a,,,,,,,0,A*02:01,,,,,
N,0.0,0.0,0.0,4.335080207887971,0.48373501976820055,0.7313690903298791,2.220957037866936,-0.016248958353365452,0.0,-0.01795112847723025,0.0,raw,a,,,,,,,0,A*02:01,,,,,
D,0.0,0.0,0.0,0.0,0.0,0.21941899473420942,0.8484444230637535,3.5616165017210255,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
C,4.584962500721156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
Q,0.0,0.0,0.0,0.0,-0.022013368065571613,0.0,0.0,-0.01795112847723025,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
E,0.0,0.0,0.0,0.0,0.08333333333333333,0.06679972428526079,-0.016248958353365452,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
G,0.0,0.0,0.0,0.0,0.06679972428526079,0.6184112365821761,-0.016248958353365452,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
H,0.0,0.0,0.0,0.0,0.0,-0.01795112847723025,0.0,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016248958353365452,0.2635725928000673,0.0,raw,a,,,,,,,0,A*02:01,,,,,
L,0.0,0.0,0.0,0.0,-0.020833333333333332,0.023057638848824648,0.0,0.0,0.5100433895808146,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
K,0.0,0.0,0.0,0.0,0.06679972428526079,-0.009133139091451173,0.0,0.17737851242358413,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
M,0.0,0.0,0.0,0.0,0.0,-0.020833333333333332,0.0,-0.022013368065571613,3.127443751081734,-0.020833333333333332,0.0,raw,a,,,,,,,0,A*02:01,,,,,
F,0.0,0.0,0.0,0.0,0.0,-0.009133139091451173,0.0,0.0,-0.01795112847723025,-0.01795112847723025,4.584962500721156,raw,a,,,,,,,0,A*02:01,,,,,
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
S,0.0,0.0,-0.01795112847723025,-0.01795112847723025,0.010810742703855111,-0.01795112847723025,0.0,0.0,0.0,-0.022013368065571613,0.0,raw,a,,,,,,,0,A*02:01,,,,,
T,0.0,0.0,0.0,0.0,0.0,0.0,0.03656015629507226,0.0,0.0,-0.009133139091451173,0.0,raw,a,,,,,,,0,A*02:01,,,,,
W,0.0,0.0,0.0,0.0,-0.01795112847723025,0.0,0.0,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
Y,0.0,0.0,0.0,0.0,0.0,-0.020833333333333332,0.0,0.0,0.0,-0.01795112847723025,0.0,raw,a,,,,,,,0,A*02:01,,,,,
V,0.0,4.501384832411533,4.501384832411533,0.0,-0.020833333333333332,-0.01795112847723025,0.0,0.0,0.0,-0.016248958353365452,0.0,raw,a,,,,,,,0,A*02:01,,,,,
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
-,0.0,0.0,0.0,-0.009133139091451173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,a,,,,,,,0,A*02:01,,,,,
A,0.0,0.0021445219952827012,-0.010956548570889416,0.0,-0.0049246743619127484,0.16140288233721256,0.0,0.0,0.0,-8.300557473448296e-05,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
R,0.0,0.0,0.0,0.0,0.9320365621401505,0.02002556356161757,0.0,-0.01203555338250856,0.0,0.000850517596930028,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
N,0.0,0.0,0.0,1.4658433789986673,-0.20982990804456117,-0.2959629359885167,-0.14263214598220722,0.0024399435200379124,0.0,-8.300557473448296e-05,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
D,0.0,0.0,0.0,0.0,0.0006031384381616467,0.12154806763874414,0.8329563091092318,-0.0036119296335729817,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
C,0.0023023065382467576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
Q,0.0,0.0,0.0,0.0,-0.008157791621801011,0.0,0.0,-0.0004721308171950923,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
E,0.0,0.0,0.0,0.0,0.1493691106777437,0.5745000401178325,0.2401738522219452,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
G,0.0,0.0,0.0,0.0,-0.01625956681825952,0.4455274424017463,-0.009590643502379615,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
H,0.0,0.0,0.0,0.0,0.0,-0.011914479817675086,0.0,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
I,0.0,0.0,0.0,0.0,0.15995432324718437,0.0,0.0,0.0,-3.3326290691418784e-05,0.00025019984729591984,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
L,0.0,0.0,0.0,0.0,-0.012402652220411032,0.040080343132458236,0.0,0.0,0.004145046263960923,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
K,0.0,0.0,0.0,0.0,0.09771222169930922,0.07874121724778818,0.0,0.135839297316225,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
M,0.0,0.0,0.0,0.0,0.15448580102725717,0.17148377459814967,0.0,0.0024812934709309985,-0.0015991449881661757,0.0028846674956527667,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
F,0.0,0.0,0.0,0.0,0.0,0.007290401394120373,0.0,0.0,-8.300557473448296e-05,-8.300557473448296e-05,0.0023023065382467576,subtracted,a,,,,,,,0,A*02:01,,,,,
P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
S,0.0,0.0,0.007796505027312612,-0.019564345092230213,-0.031772391075043364,-0.015337567383820881,0.0,0.0,0.0,-6.656959984582414e-05,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
T,0.0,0.0,0.0,0.0,0.0,0.0,-0.039172488401024164,0.0,0.0,-1.6667302701967246e-05,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
W,0.0,0.0,0.0,0.0,0.030030073507657407,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
Y,0.0,0.0,0.0,0.0,0.0,-0.013634899846421036,0.0,0.0,0.0,-8.300557473448296e-05,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
V,0.0,0.0474590874178751,0.25662991565377724,0.0,0.06549496540543429,0.007581040474391609,0.0,0.0,0.0,-3.3326290691418784e-05,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
-,0.0,0.0,0.0,-0.10240226752081423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,a,,,,,,,0,A*02:01,,,,,
A,0.0,4.087812317084189,-0.009133139091451173,-0.01795112847723025,0.0,0.1007028043504109,0.0,0.0,0.0,0.0,-0.01795112847723025,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
R,0.0,0.0,-0.016248958353365452,-0.022013368065571613,-0.022013368065571613,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
N,0.0,0.0,-0.01795112847723025,-0.020833333333333332,0.0511781662615421,0.0,4.046863372270378,0.0,-0.01795112847723025,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
D,0.0,0.0,0.0,-0.01795112847723025,1.5855728252087613,-0.01795112847723025,0.06679972428526079,-0.01795112847723025,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
C,4.584962500721156,0.0,0.0,-0.01795112847723025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
Q,0.0,0.0,-0.01795112847723025,0.7313690903298791,0.08333333333333333,0.1007028043504109,0.0,0.0,0.0,0.0,-0.020833333333333332,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
E,0.0,0.0,0.0,-0.020833333333333332,0.48373501976820055,0.0,0.0,0.0,0.0,4.459701583934353,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
G,0.0,-0.01795112847723025,0.010810742703855111,0.24124522141197308,0.15722638880876041,0.0,-0.01795112847723025,-0.01795112847723025,4.459701583934353,-0.01795112847723025,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
H,0.0,0.0,0.0,-0.01795112847723025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
I,0.0,0.0,-0.020833333333333332,-0.020833333333333332,0.0,-0.020833333333333332,0.0,0.0,0.0,0.0,-0.01795112847723025,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
L,0.0,0.0,0.0,0.0,-0.01795112847723025,1.2531526082975075,0.0,0.0,-0.022013368065571613,0.0,4.335080207887971,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
K,0.0,0.0,0.0,-0.022013368065571613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
M,0.0,0.0,0.0,-0.01795112847723025,0.0,-0.009133139091451173,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
F,0.0,0.0,0.0,-0.01795112847723025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,b,4.418089390773149,4.584962500721156,,,,,0,A*02:01,,,,,
P,0.0,0.0,0.0,0.0,0.0,-0.020833333333333332,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
S,0.0,0.03656015629507226,2.5912838679854806,1.0621158642547113,-0.009133139091451173,0.0511781662615421,0.0,0.010810742703855111,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
T,0.0,0.0,0.2635725928000673,0.1007028043504109,0.0,0.023057638848824648,-0.01795112847723025,4.21111227780907,0.0,-0.01795112847723025,0.0,raw,b,-0.01795112847723025,0.0,,,,,0,A*02:01,,,,,
W,0.0,0.0,0.0,-0.01795112847723025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
Y,0.0,0.0,-0.01795112847723025,0.0,0.0,-0.01795112847723025,0.0,0.0,0.0,0.0,-0.01795112847723025,raw,b,-0.020833333333333332,0.0,,,,,0,A*02:01,,,,,
V,0.0,-0.01795112847723025,-0.016248958353365452,-0.022013368065571613,0.0,-0.016248958353365452,0.0,0.0,0.0,-0.01795112847723025,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
-,0.0,-0.01795112847723025,-0.020833333333333332,0.0,-0.022013368065571613,-0.020833333333333332,0.0,0.0,0.0,0.0,0.0,raw,b,0.0,0.0,,,,,0,A*02:01,,,,,
A,0.0,-0.04773787073980094,0.03264863813567733,-0.013746181688016917,0.0,0.0250900108464876,0.0,0.0,0.0,0.0,-0.0002794572721749251,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
R,0.0,0.0,0.04271483953366278,-0.03381331732803192,-0.02191309714177883,0.01164881619896484,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
N,0.0,0.0,0.015186299037171749,0.027590220522972227,0.16976561241808186,0.0,1.1802079727086723,0.0,0.005134500585982713,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
D,0.0,0.0,0.0,0.02414120610102581,0.7350993437906386,0.02820344568936717,0.03390995978756067,-0.0022189278102226232,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
C,0.0023023065382467576,0.0,0.0,0.02532124083326409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
Q,0.0,0.0,0.030030073507657407,1.4562903461097982,0.03667152434634724,0.11683121191146235,0.0,0.0,0.0,0.0,0.000453496147546574,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
E,0.0,0.0,0.0,0.05774561587653933,0.23673994749843494,0.13463421586296603,0.0,0.0,0.0,0.0002500732705291457,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
G,0.0,0.04615457416659742,0.12379903503523476,0.26643586464261526,-0.06829565040809729,-0.017418124866922045,-0.03347803717997026,-0.009123217028319803,0.02141586362036717,0.010534553215590714,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
H,0.0,0.0,0.0,0.016655077545461413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
I,0.0,0.0,0.08298528473474166,0.022743121423174827,0.0,-0.0160748715603306,0.0,0.0,0.0,0.0,-0.00018171293042685004,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
L,0.0,0.0,0.0,0.0,-0.00018171293042685004,0.11780001072898082,0.0,0.0,0.08418466915651213,0.0,0.0025027752888486686,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
K,0.0,0.0,0.0,0.0006436921917069641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
M,0.0,0.0,0.0,0.014314556800478285,0.0,0.06385082492820922,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
F,0.0,0.0,0.0,0.019714609430086284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.002035225107553092,0.0023023065382467576,,,,,0,A*02:01,,,,,
P,0.0,0.0,0.0,0.0,0.0,-0.000838371816524772,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
S,0.0,0.07601692745282587,-0.22502575922022455,-0.37420464223829647,-0.03473888952492419,0.059698772090223784,0.0,0.004031134490853534,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
T,0.0,0.0,0.07567872811414662,0.09539468170542041,0.0,-0.031017359125509684,-0.010298780117742618,0.28824799969251313,0.0,0.03921012972215298,0.0,subtracted,b,0.0058257205411973954,0.0,,,,,0,A*02:01,,,,,
W,0.0,0.0,0.0,0.011124059448830386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
Y,0.0,0.0,0.03226568527770853,0.0,0.0,-0.015052239661298664,0.0,0.0,0.0,0.0,0.003033370238618608,subtracted,b,-0.0040634077914773435,0.0,,,,,0,A*02:01,,,,,
V,0.0,0.04615457416659742,0.052910880377468945,0.0012731920598943308,0.0,-0.03370211406646177,0.0,0.0,0.0,0.030030073507657407,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
-,0.0,-0.011089689607520287,0.03131876512808304,0.0,-0.05677816044592107,-0.046823925807595375,0.0,0.0,0.0,0.0,0.0,subtracted,b,0.0,0.0,,,,,0,A*02:01,,,,,
399,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV3-1*01,TRBJ2-2*01,0,A*02:01,,,,,
401,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV2*01,TRBJ2-2*01,0,A*02:01,,,,,
404,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV5-1*01,TRBJ2-2*01,0,A*02:01,,,,,
406,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ20*01,TRBV7-9*01,TRBJ2-2*01,0,A*02:01,,,,,
408,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ47*01,TRBV2*01,TRBJ2-2*01,0,A*02:01,,,,,
409,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV5-1*01,TRBJ2-2*01,0,A*02:01,,,,,
411,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ31*01,TRBV9*01,TRBJ2-2*01,0,A*02:01,,,,,
414,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV2*01,TRBJ2-2*01,0,A*02:01,,,,,
415,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV19*01,TRBJ2-2*01,0,A*02:01,,,,,
422,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV5-1*01,TRBJ2-2*01,0,A*02:01,,,,,
424,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV7-9*01,TRBJ2-1*01,0,A*02:01,,,,,
425,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV2*01,TRBJ2-2*01,0,A*02:01,,,,,
427,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV6-1*01,TRBJ2-2*01,0,A*02:01,,,,,
429,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ31*01,TRBV7-9*01,TRBJ2-2*01,0,A*02:01,,,,,
430,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV7-9*01,TRBJ2-2*01,0,A*02:01,,,,,
433,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV2*01,TRBJ2-2*01,0,A*02:01,,,,,
434,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ39*01,TRBV6-6*01,TRBJ2-2*01,0,A*02:01,,,,,
437,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV5-1*01,TRBJ2-2*01,0,A*02:01,,,,,
439,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ34*01,TRBV7-9*01,TRBJ2-2*01,0,A*02:01,,,,,
441,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV20-1*01,TRBJ2-2*01,0,A*02:01,,,,,
444,,,,,,,,,,,,gene_usage,,,,TRAV12-1*01,TRAJ43*01,TRBV5-1*01,TRBJ2-2*01,0,A*02:01,,,,,
